customer_id,first_name,last_name,email,city,account_type,signup_date,credit_score,annual_income,is_active
CUST_00001,Kyle,Hutchinson,marianwilliams@example.com,Turnerfort,savings,2025-09-12,402,33995.31,True
CUST_00002,Denis,Jones,amelia12@example.com,Lake Ashleyland,current,2023-03-27,371,55308.66,True
CUST_00003,Alice,Bradshaw,rebeccaevans@example.com,Hollyview,savings,2024-12-01,320,40316.93,True
CUST_00004,Victoria,Clarke,smithann@example.net,South Frank,savings,2023-12-23,630,40317.26,True
CUST_00005,Keith,Wright,cliffordjames@example.net,East Gordonfort,current,2021-04-16,758,50580.83,True
CUST_00006,Martyn,Fitzgerald,staylor@example.com,North Peterfurt,current,2025-03-18,430,65210.31,True
CUST_00007,Anne,Stokes,newtonjoyce@example.com,New Jamesborough,current,2021-11-27,608,33382.44,True
CUST_00008,Robin,Spencer,jenningshelen@example.org,Marionstad,savings,2024-12-05,576,34496.6,True
CUST_00009,Kayleigh,Richards,frostbarbara@example.net,Lake Jillton,current,2025-05-10,460,49839.25,True
CUST_00010,Ann,Haynes,poolemarilyn@example.net,Port Martin,savings,2025-05-12,774,6734.4,True
CUST_00011,Bruce,Allen,daniel32@example.com,Bethanymouth,savings,2022-09-24,358,34363.65,True
CUST_00012,Mitchell,O'Neill,ann68@example.org,Ruthbury,current,2022-06-26,489,42650.49,True
CUST_00013,Gerald,Fox,billy84@example.com,Evansborough,premium,2025-07-29,543,34112.35,True
CUST_00014,June,Smith,xarnold@example.org,New June,current,2023-05-30,320,47218.45,True
CUST_00015,Victor,Hancock,swiftjanet@example.com,Port Ruthport,savings,2022-05-02,466,4465.61,True
CUST_00016,Craig,Johnson,hendersondorothy@example.com,Hallshire,savings,2024-10-03,645,67388.47,True
CUST_00017,Diana,Harrison,josh04@example.com,West Kirstyberg,current,2023-06-17,639,60583.85,False
CUST_00018,Alexandra,Bull,sianhorton@example.com,Hydestad,current,2024-05-13,727,22978.04,True
CUST_00019,Leigh,Murray,kgriffiths@example.net,Paulinebury,savings,2022-01-03,808,37636.58,True
CUST_00020,Caroline,Green,kathleen28@example.com,Port Josephinechester,savings,2022-04-14,380,52511.29,True
CUST_00021,Denis,Kelly,cfowler@example.net,North Teresa,savings,2025-01-14,687,49177.27,True
CUST_00022,Paula,Wilkinson,nigelevans@example.org,Hillbury,current,2025-03-20,405,5806.6,True
